p,new_p_error,max_bout_count,round_count,w_point,process
0.50,0.51,1,2000000,1,""
0.51,0.51,1,2000000,1,""
0.52,0.51,1,2000000,1,""
0.53,0.51,1,2000000,1,""
0.54,0.51,1,2000000,1,""
0.55,0.51,1,2000000,1,""
0.56,0.51,1,2000000,1,""
0.57,0.51,1,2000000,1,""
0.58,0.51,1,2000000,1,""
0.59,0.51,1,2000000,1,""
0.60,0.51,1,2000000,1,""
0.61,0.51,1,2000000,1,""
0.62,0.51,1,2000000,1,""
0.63,0.51,1,2000000,1,""
0.64,0.51,1,2000000,1,""
0.65,0.51,1,2000000,1,""
0.66,0.51,1,2000000,1,""
0.67,0.51,1,2000000,1,""
0.68,0.51,1,2000000,1,""
0.69,0.51,1,2000000,1,""
0.70,0.51,1,2000000,1,""
0.71,0.51,1,2000000,1,""
0.72,0.51,1,2000000,1,""
0.73,0.51,1,2000000,1,""
0.74,0.51,1,2000000,1,""
0.75,0.51,1,2000000,1,""
0.76,0.51,1,2000000,1,""
0.77,0.51,1,2000000,1,""
0.78,0.51,1,2000000,1,""
0.79,0.51,1,2000000,1,""
0.80,0.51,1,2000000,1,""
0.81,0.51,1,2000000,1,""
0.82,0.51,1,2000000,1,""
0.83,0.51,1,2000000,1,""
0.84,0.51,1,2000000,1,""
0.85,0.51,1,2000000,1,""
0.86,0.51,1,2000000,1,""
0.87,0.51,1,2000000,1,""
0.88,0.51,1,2000000,1,""
0.89,0.51,1,2000000,1,""
0.90,0.51,1,2000000,1,""
0.91,0.51,1,2000000,1,""
0.92,0.51,1,2000000,1,""
0.93,0.51,1,2000000,1,""
0.94,0.51,1,2000000,1,""
0.95,0.51,1,2000000,1,""
0.96,0.51,1,2000000,1,""
0.97,0.51,1,2000000,1,""
0.98,0.51,1,2000000,1,""
0.99,0.51,1,2000000,1,""
